temperature,humidity_in_percent,light_in_lux,hours_until_dry
16,74,1863,84.36
28,90,13767,31.75
34,80,9070,20.93
25,96,2316,66.24
25,98,11425,43.66
23,94,3529,59.45
23,43,5030,27.78
16,90,4799,88.13
15,96,10526,76.32
25,76,16049,36.94
25,53,7297,28.94
22,86,13790,47.83
25,79,18431,35.19
25,57,13167,27.7
22,91,14485,50.12
35,47,3446,9.4
25,82,6016,50.18
33,72,4210,21.17
16,73,12801,52.56
19,76,5187,63.2
28,74,1462,47.51
21,66,19182,37.62
34,43,140,16.1
22,87,7443,68.28
24,87,19757,39.67
28,69,14272,26.83
34,67,1994,21.11
17,97,18652,68.94
25,60,6214,37.08
19,99,13179,56.76
33,74,17071,16.32
18,100,3680,83.6
26,78,2655,44.99
33,74,19363,13.99
18,41,17348,26.25
31,91,8407,30.79
31,43,8249,15.33
34,40,16116,7.34
21,77,3882,59.11
34,63,18369,11.11
19,95,13587,54.46
29,98,7695,40.1
30,55,16045,16.5
29,51,4381,24.01
24,77,12735,38.07
23,71,16772,38.02
34,66,8211,15.84
32,99,6417,29.46
29,75,541,37.95
23,44,10182,23.11
25,76,16521,34.54
31,93,99,51.22
29,67,2461,33.16
24,59,4570,38.52
27,87,16073,34.61
33,91,5618,24.72
16,58,12887,39.25
17,70,18166,53.13
31,91,19928,24.57
29,69,16749,23.68
18,41,2063,43.3
19,99,4006,90.64
15,53,11079,38.56
27,87,8177,42.98
28,57,19426,18.67
34,64,1095,21.12
18,50,7862,45.32
32,59,2749,20.01
35,76,11288,11.63
29,76,5118,31.43
26,76,7612,40.86
28,59,14463,23.15
27,87,2170,54.85
35,74,7038,14.65
33,54,5823,16.03
30,45,15004,14.04
29,83,3353,36.52
17,71,17931,47.03
16,86,10346,57.59
30,91,5989,38.95
33,79,5545,22.12
27,96,16557,37.07
27,52,12951,20.28
28,93,10310,34.48
21,43,2524,32.35
35,41,15229,5.97
24,98,8210,63.97
19,83,16586,54.38
26,84,14511,36.69
23,87,7592,57.98
29,77,1017,43.2
16,93,17002,62.27
35,66,6985,13.46
16,85,3402,80.78
32,54,17734,13.61
17,81,12110,55.89
31,95,18705,27.19
35,41,8929,7.71
28,54,13587,17.69
27,75,8860,36.27
28,89,84,63.44
24,64,2718,39.73
31,82,11990,23.03
20,47,7109,34.97
21,47,2841,37.15
35,78,12331,12.75
23,85,11433,47.69
27,42,13126,15.23
21,57,11351,30.87
18,93,751,104.35
31,43,16615,11.73
26,96,15761,37.09
21,93,16848,54.07
35,67,19733,9.35
35,65,10745,10.43
33,67,2805,18.2
16,96,17273,66.36
31,99,7125,36.0
34,66,19251,12.71
31,55,15054,15.89
22,54,4379,40.44
34,45,5860,11.56
24,76,1355,59.58
22,97,11217,54.48
18,75,10368,47.02
22,99,2667,78.41
20,87,14269,49.07
16,44,15488,32.63
29,92,19847,31.57
30,68,13358,18.56
19,53,13797,31.39
21,87,11513,46.12
23,54,1986,41.31
22,79,13864,45.65
21,90,8632,61.56
19,92,11860,54.48
32,73,7304,21.96
28,96,15883,31.45
33,57,4970,14.68
26,61,9453,30.74
22,95,15633,50.79
19,80,5438,71.23
32,77,18146,18.85
32,89,19833,19.44
28,70,18070,26.71
24,79,2924,53.09
26,99,14630,44.07
26,87,18929,36.91
25,83,1046,62.87
35,40,1205,10.5
33,87,10005,17.17
30,54,16508,15.07
29,76,2446,45.14
21,46,10706,24.65
31,98,16601,25.4
15,84,2269,105.0
23,83,4585,54.18
15,48,11216,34.92
21,91,981,92.5
32,84,4759,27.69
35,67,9368,14.34
20,90,7534,74.88
16,49,16019,34.22
22,56,18860,28.73
18,100,2192,114.4
35,76,10147,10.37
18,90,4125,79.99
28,80,19606,27.65
30,40,13752,12.96
30,85,6657,33.66
33,91,18697,19.87
33,40,19886,7.98
25,72,17550,33.7
18,87,11785,59.72
24,48,14885,23.27
28,74,19769,26.11
31,76,14731,19.9
16,69,12653,53.16
16,62,9177,56.54
22,40,12812,23.33
25,89,1080,65.41
29,71,10434,24.13
18,66,5401,62.73
16,83,7147,79.68
31,63,15805,16.16
15,82,13558,57.81
22,91,5876,66.18
23,59,14963,32.5
21,98,11734,55.86
18,98,1247,103.49
33,56,13314,10.82
30,69,8477,26.5
34,83,3336,21.31
33,40,3880,10.53
21,83,3585,58.66
30,88,1303,47.52
17,47,10462,32.75
30,91,11564,29.21
30,46,13958,12.56
19,62,8048,54.16
17,54,7528,44.71
33,67,7543,19.51
27,47,11275,19.06
25,51,3299,27.85
21,65,5431,53.85
24,48,15554,23.04
32,60,9677,20.54
24,80,12152,38.02
25,68,15838,31.82
31,78,8844,30.05
20,60,13887,33.12
23,55,3646,38.15
26,84,8969,45.63
25,56,19632,23.44
32,70,17188,17.64
20,59,14200,36.46
20,46,1372,45.54
18,64,10019,42.66
17,78,13112,52.21
29,62,16360,18.82
27,78,17318,32.25
19,61,19974,41.89
26,48,12978,21.97
20,82,14274,44.77
33,52,1828,16.74
21,56,2164,56.92
29,82,10264,28.95
34,76,18948,14.36
20,52,4171,43.26
30,81,15473,26.49
29,72,2758,32.31
15,81,1646,96.19
25,64,19633,27.07
17,78,8233,77.5
16,72,10412,50.8
