temperature,humidity_in_percent,light_in_lux,hours_until_dry
18,60,17797,38.02
31,79,8381,27.59
17,82,9730,79.97
29,57,11641,18.62
15,67,14766,52.76
19,60,9897,46.37
21,48,10368,27.09
16,94,5444,84.83
18,55,9037,53.24
21,76,3893,55.45
19,51,186,64.9
33,63,11326,12.44
33,95,1389,30.26
18,76,10074,47.15
15,87,7050,92.22
32,84,4743,26.61
17,82,13215,52.62
16,58,18624,39.25
21,48,19580,28.73
32,87,10594,21.72
30,68,6267,24.75
21,70,1946,59.85
34,60,3995,13.39
19,55,11303,35.0
32,67,7397,22.3
24,100,8687,58.88
18,56,17288,37.33
33,76,18291,15.32
28,86,7191,43.76
22,75,13966,38.07
31,88,6653,31.05
31,42,15610,11.57
27,62,10595,22.25
28,59,5320,26.05
24,89,18591,41.44
15,63,5129,68.67
16,52,2582,46.92
22,51,11377,28.92
15,53,17816,38.56
29,83,12545,27.12
33,65,15358,14.06
24,75,11325,37.44
24,78,7165,54.41
31,53,19771,15.6
27,41,15578,15.51
31,68,15386,18.36
18,56,18420,34.74
34,93,12938,17.41
24,95,13856,48.34
25,55,1177,38.36
22,75,14847,42.52
19,100,14619,66.78
28,42,17021,14.82
35,54,14518,7.53
22,53,12934,29.48
26,86,11007,35.76
26,53,17673,20.26
21,97,11426,51.97
19,75,12551,50.56
25,63,17038,26.93
15,55,171,78.38
17,54,5073,52.66
21,86,9120,67.97
20,59,3004,43.42
31,61,1869,28.0
19,40,15452,26.71
20,58,1859,59.74
20,95,9521,77.52
18,100,1904,103.4
15,58,13883,46.98
16,56,18110,41.53
20,46,7126,39.38
30,52,1518,28.08
24,52,13127,24.46
23,99,5957,74.05
15,82,2116,93.28
22,46,16648,27.08
20,49,18932,26.75
26,61,9301,31.43
21,96,15501,52.53
26,94,9461,54.22
31,44,1282,17.82
19,53,2129,52.87
24,82,7100,51.43
35,49,13560,7.42
34,54,7027,12.31
29,94,5839,39.29
21,71,17658,38.04
22,57,15758,32.32
22,51,16453,29.74
27,100,9429,53.04
15,82,12830,60.27
27,94,16138,34.46
31,62,7536,20.31
25,57,15462,27.7
29,61,18993,19.93
30,42,5849,16.63
24,62,1111,52.08
31,49,2015,21.39
34,95,5121,24.4
35,81,843,18.23
25,87,7951,48.55
35,92,10094,14.35
31,66,9877,22.1
23,65,15592,29.84
15,92,4339,84.64
22,47,8682,35.19
31,98,10628,27.78
28,88,11212,34.21
15,93,12850,70.45
16,74,13827,50.08
15,84,4863,79.8
15,75,16716,51.75
30,91,10782,28.94
35,68,1464,18.36
33,41,7882,11.94
28,89,16430,31.72
25,79,3236,50.72
28,82,3154,36.21
15,59,10545,40.27
29,47,2840,19.03
24,92,19333,44.16
22,54,19225,26.83
30,40,17863,12.24
33,59,1068,19.41
18,96,8379,87.01
29,93,494,64.45
34,85,15897,16.07
25,98,286,84.67
17,100,5733,96.6
24,93,752,67.7
16,57,16755,38.99
33,79,5509,20.79
19,100,7413,78.96
21,53,9789,42.7
22,57,15512,30.47
21,56,15214,31.6
29,56,2993,23.9
19,62,4388,50.0
25,99,8656,57.02
28,89,4612,43.57
32,80,13900,18.24
18,77,15519,52.85
25,77,2539,48.97
30,44,6803,18.13
28,87,12738,28.81
30,64,11405,17.47
30,93,7450,34.22
35,81,2016,20.86
29,55,14435,18.51
18,57,1648,63.33
22,77,2057,66.53
23,68,17563,32.6
17,81,4684,76.01
29,85,2728,35.9
27,43,9468,20.12
32,98,13444,22.11
34,87,7341,21.3
30,59,5539,24.07
25,42,5055,23.69
22,48,10612,25.66
31,52,8421,18.72
23,89,2481,75.65
18,43,784,45.41
23,57,10278,30.52
30,88,327,53.86
18,65,19021,39.04
29,57,17380,19.19
29,97,19534,31.69
22,84,9416,58.06
26,98,16874,39.93
24,52,17871,22.71
28,43,5443,20.64
35,90,1290,22.73
33,62,18074,13.15
16,43,16604,28.79
17,100,10086,73.14
17,51,13419,38.36
24,45,16312,19.66
18,46,17091,30.06
21,97,4452,71.51
19,97,8456,82.29
34,94,8961,23.46
22,69,12644,33.53
21,74,9310,53.43
23,97,13856,50.46
29,56,14054,19.96
24,67,16928,30.23
16,57,16453,39.4
27,79,17063,29.89
20,97,5429,81.48
31,81,1722,37.18
15,74,19708,52.72
21,47,16150,24.38
20,76,17331,46.06
26,88,4580,50.76
17,50,15815,35.19
28,94,12615,35.53
19,74,9948,57.81
16,51,4248,49.45
32,100,10726,26.16
24,49,1174,40.77
29,67,18527,21.89
24,70,14444,33.94
30,95,8909,39.14
23,91,12152,43.16
22,48,11681,24.11
25,66,2087,48.02
35,82,10797,13.16
15,64,18938,47.04
15,64,10705,48.48
17,78,15853,50.59
28,55,15965,19.6
29,94,13676,32.57
30,97,17987,27.35
16,59,10500,41.63
30,65,5677,23.92
22,76,11558,38.58
24,62,12780,31.25
25,78,5561,43.06
23,98,15023,48.48
27,94,4156,49.86
35,58,6381,11.37
26,73,4702,41.7
15,40,4314,40.0
22,88,19122,45.14
25,72,19419,35.64
20,44,12412,26.93
21,87,18230,47.11
29,80,17910,28.51
17,60,8249,50.23
15,94,3252,93.06
32,88,5879,27.6
26,75,19621,28.98
19,43,1379,44.25
17,48,13771,34.78
35,75,18296,11.36
26,47,2569,26.85
22,56,6520,37.09
25,90,5224,50.76
15,63,8236,58.59
27,99,18327,39.38
25,68,13817,28.15
29,93,14647,29.16
22,44,9506,28.83
25,59,1508,48.23
23,49,14200,27.24
32,97,1765,38.02
26,65,2965,34.94
20,95,4139,77.52
18,44,9162,34.85
16,95,5031,86.64
16,75,8787,77.04
28,46,4731,21.2
22,74,10416,41.16
25,79,7936,48.82
19,93,2629,78.12
23,50,2796,34.0
35,49,9609,10.68
35,43,19228,6.13
15,99,4137,105.93
31,96,14868,24.36
31,52,11188,15.44
29,98,14871,31.69
34,50,2876,12.96
29,45,3132,19.6
19,85,16047,50.87
32,100,4705,29.12
32,85,15409,20.6
30,77,19211,24.72
29,44,7244,17.62
31,58,2588,22.34
34,81,11183,14.43
21,82,4337,66.68
22,53,3161,40.07
30,82,1434,42.64
29,80,15256,26.93
18,91,8448,79.28
19,59,5304,45.1
23,47,14496,23.25
24,65,12349,29.64
19,57,12415,37.71
